SubjectID,TrialName,HandAOI,RightAOI,LeftAOI
sub1,trial1,0,0,0
sub1,trial1,1,0,0
sub1,trial1,0,1,0
sub1,trial1,0,0,0
sub1,trial1,1,0,1
sub1,trial2,1,0,0
sub1,trial2,1,0,0
sub1,trial2,0,0,1
sub1,trial2,0,0,0
sub1,trial2,0,0,0
sub1,trial2,0,0,0
sub1,trial2,0,0,0
sub1,trial2,0,0,0
sub1,trial2,0,0,0
sub2,trial1,0,0,0
sub2,trial1,0,0,0
sub2,trial1,0,0,0
sub2,trial1,0,0,0
sub2,trial1,0,0,0
sub2,trial2,1,0,0
sub2,trial2,0,0,1
sub2,trial2,0,0,0
sub2,trial2,0,0,0
sub2,trial2,0,0,0
sub2,trial2,0,0,0
sub2,trial2,0,0,0
sub2,trial2,0,0,0
sub2,trial2,0,0,0
sub3,trial1,0,0,0
sub3,trial1,1,0,0
sub3,trial1,0,1,1
sub3,trial1,0,1,0
sub3,trial1,0,0,0
sub3,trial2,0,0,0
sub3,trial2,1,0,0
sub3,trial2,0,1,0
sub3,trial2,0,0,0
sub3,trial2,0,0,0
sub3,trial2,0,0,1
sub3,trial2,0,0,1
sub3,trial2,0,0,1
sub3,trial2,0,0,0
